GameTittle,Gameplay,Genre,Pacing,Platform,Published by,Released,Developed by,Perspective,Setting,Visual,Platforms,Official Site,Interface,Narrative,Vehicular
ZX Reversi,Board game,Strategy / tactics,Turn-based,ZX Spectrum,CP Software,1983,,,,,,,,,
Z-Xtricator,"Arcade, Shooter",Action,,ZX81,Software Farm,1984,Software Farm,Side view,Sci-fi / futuristic,2D scrolling,,,,,
Zybex,Shooter,Action,,,Zeppelin Games Limited,1988,,Side view,Sci-fi / futuristic,,"Atari 8-bit, Commodore 64, ZX Spectrum",,,,
Życie Maklera,Managerial / business simulation,Strategy / tactics,,Commodore 64,"Wydawnictwo ""Czasopisma Wojskowe""","Jun, 1986",,,,,,,,,
Życie Maklera,Managerial / business simulation,Strategy / tactics,,Atari 8-bit,ArStudio,"Aug 24, 1988",ArStudio,,,,,Życie Maklera,,,
Życie Maklera,Managerial / business simulation,"Simulation, Strategy / tactics",,"Commodore 16, Plus/4",,1986,,Text-based / spreadsheet,,,,,,,
Zyclunt,,Action,,DOS,"Phantagram Co., Ltd.","Jun 01, 1995","Phantagram Co., Ltd.",Side view,Sci-fi / futuristic,,,,,,
Zyconix,"Arcade, Falling block puzzle",Puzzle,Real-time,,"Accolade, Inc.",1992,Miracle Games,,,,"Amiga, DOS",,,,
Zygon Warrior,Shooter,Action,,Commodore 64,Entertainment & Computer Products Pty. Ltd.,1989,,"Side view, Top-down",,,,,,,
Zyklop,Arcade,Action,,Atari ST,Budgie UK,"Oct, 1990",ASE-Crew Germany,Top-down,,,,,,,
Zyklop 2 - Hyleilos,Arcade,Action,,Atari ST,Budgie UK,"Nov, 1991",ASE-Crew Germany,Top-down,,,,,,,
Zyll,Interactive fiction / text adventure,Adventure,Real-time,PC Booter,IBM,1984,IBM,,Fantasy,,,,,,
Zylogon,Shooter,Action,,Commodore 64,Big G Software,1984,,,Sci-fi / futuristic,Isometric,,,,,
Zynaps,Shooter,Action,,,Hewson Consultants Ltd.,1987,Hewson Consultants Ltd.,Side view,Sci-fi / futuristic,,"Amiga, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum",,,,
Zynga Poker,"Cards / tiles, Casino / gambling",Strategy / tactics,Turn-based,,Zynga Game Network Inc.,2008,Zynga Game Network Inc.,Top-down,,,"Android, Browser, iPhone",,,,
Zyron,Shooter,Action,,Commodore 64,Kingsoft GmbH,1986,,Side view,,,,,,,
Zyrons Escape,Platform,Action,,Commodore 64,Sparklers,1986,Kele Line Ltd.,,,,,,,,
Zyrx,Timed input,Action,,J2ME,"Robotube Games, LLC","Oct 15, 2005","Robotube Games, LLC",,,,,,,,
Zythum,Shooter,Action,,ZX Spectrum,Mirrorsoft Ltd.,"Sep, 1986",,Side view,Fantasy,,,,,,
Zyto,Shooter,Action,,Commodore 64,"Virgin Games, Ltd.",1984,,Side view,Sci-fi / futuristic,,,,,,
Zyx,Tile matching puzzle,Puzzle,Real-time,Commodore 64,CP Verlag,"Nov, 1990",,Top-down,,Fixed / flip-screen,,,Direct control,,
The Zzap! 64 Sizzler Collection: Vol I,,"Action, Compilation",,Commodore 64,U.S. Gold Ltd.,1989,,,,,,,,,
Zzap! Sizzlers II: Star Games,,Compilation,,Commodore 64,Gremlin Graphics Software Limited,1986,,,,,,,,,
The ZZAZZ Glitch's April Fools Event,Game show / trivia / quiz,Strategy / tactics,,Windows,,"Apr 01, 2016",,,,,,,Menu structures,Comedy,
Z-Zone,Arcade,Action,,Commodore 64,Infomedia France,1987,,Top-down,Sci-fi / futuristic,2D scrolling,,,Direct control,,Flight / aviation
Zzoom,Shooter,Action,,ZX Spectrum,Imagine,1983,Imagine,1st-person,Sci-fi / futuristic,,,,,,Flight / aviation
ZZT,,"Action, Puzzle",,DOS,"Epic MegaGames, Inc.",1991,"Epic MegaGames, Inc.",Top-down,,,,ZZT,,,
Zzyzzyxx,Arcade,Action,,Arcade,"Cinematronics, Inc.",1982,Advanced Microcomputer Systems,Side view,,Fixed / flip-screen,,,,,
Zzzz,Interactive fiction / text adventure,Adventure,,,Mastertronic Ltd.,1985,,,,,"Commodore 64, ZX Spectrum",,,,
Zzzz-Zzzz-Zzzz,"Platform, Puzzle elements, Shooter",Action,,Windows,Dagestan Technology,"Jun 05, 2017",DIGITAL-SYNTHE.SIS,Side view,,2D scrolling,,Zzzz-Zzzz-Zzzz,Direct control,,
μLabyrinth,,Puzzle,Turn-based,DOS,Gamos Ltd.,1993,Gamos Ltd.,Bird's-eye view,Sci-fi / futuristic,Isometric,,,Direct control,,
μTorrent (included game),Falling block puzzle,Puzzle,Real-time,,"BitTorrent, Inc.","Nov 27, 2008","BitTorrent, Inc.",,,,"Macintosh, Windows",,,,
πr²,,Puzzle,,,Mind Games,1987,"Binary Design, Ltd.",Side view,,,"Commodore 64, ZX Spectrum",,Direct control,,
